rank,name,first_print_year,cmc,color,card_type,keywords,keyword_count,categories,semantic_count,total_ability_count,abilities_per_cmc
5794,Goblin Piledriver,2002,2.0,Red,Creature,Protection,1,pump,1,2,1.0
5795,Mind Sculpt,2012,2.0,Blue,Sorcery,Mill,1,,1,2,1.0
5796,Hobgoblin Captain,2021,2.0,Red,Creature,Pack tactics,1,,1,2,1.0
5797,Spy Kit,2016,2.0,Colorless,Artifact,Equip,1,pump,1,2,1.0
5798,Dimir Charm,2013,2.0,Multicolor,Instant,,0,"removal, counterspell",2,2,1.0
5799,"Merry, Esquire of Rohan",2023,2.0,Multicolor,Creature,Haste,1,card_advantage,1,2,1.0
5800,A-Peerless Samurai,2022,2.0,Red,Creature,Menace,1,ramp,1,2,1.0
5801,Arena Athlete,2013,2.0,Red,Creature,Heroic,1,,1,2,1.0
5802,Anointer Priest,2017,2.0,White,Creature,Embalm,1,life,1,2,1.0
5803,Aura Blast,2001,2.0,White,Instant,,0,"card_advantage, removal",2,2,1.0
5804,Plaguecrafter's Familiar,2021,2.0,Black,Creature,Deathtouch,1,,1,2,1.0
5805,Knight of Meadowgrain,2007,2.0,White,Creature,"Lifelink, First strike",2,,0,2,1.0
5806,Knight of the Holy Nimbus,2006,2.0,White,Creature,Flanking,1,protection,1,2,1.0
5807,Silverskin Armor,2011,2.0,Colorless,Artifact,Equip,1,pump,1,2,1.0
5808,Rebellious Strike,2025,2.0,White,Instant,,0,"card_advantage, pump",2,2,1.0
5809,Darksteel Brute,2004,2.0,Colorless,Artifact,Indestructible,1,,1,2,1.0
5810,Expose the Culprit,2024,2.0,Red,Instant,Cloak,1,ramp,1,2,1.0
5811,Lumithread Field,2007,2.0,White,Enchantment,Morph,1,pump,1,2,1.0
5812,Peace of Mind,1998,2.0,White,Enchantment,,0,"discard, life",2,2,1.0
5813,Arcbound Slith,2004,2.0,Colorless,Creature,Modular,1,counters,1,2,1.0
5814,Furious Bellow,2022,2.0,Red,Instant,Scry,1,pump,1,2,1.0
5815,"Wyll, Blade of Frontiers",2022,2.0,Red,Creature,Choose a background,1,counters,1,2,1.0
5816,"Kalain, Reclusive Painter",2021,2.0,Multicolor,Creature,Treasure,1,tokens,1,2,1.0
5817,Hampering Snare,2020,2.0,Blue,Instant,Cycling,1,removal,1,2,1.0
5818,Sapphire Leech,2000,2.0,Blue,Creature,Flying,1,,1,2,1.0
5819,Soltari Trooper,1997,2.0,White,Creature,Shadow,1,pump,1,2,1.0
5820,Fortitude,1998,2.0,Green,Enchantment,Enchant,1,protection,1,2,1.0
5821,Inordinate Rage,2020,2.0,Red,Instant,Scry,1,pump,1,2,1.0
5822,Pyre Charger,2008,2.0,Red,Creature,Haste,1,pump,1,2,1.0
5823,Undergrowth Leopard,2025,2.0,Green,Creature,Vigilance,1,removal,1,2,1.0
5824,Grasp of the Hieromancer,2015,2.0,White,Enchantment,Enchant,1,pump,1,2,1.0
5825,Shielded Aether Thief,2017,2.0,Blue,Creature,Flash,1,card_advantage,1,2,1.0
5826,Longbow Archer,1997,2.0,White,Creature,"Reach, First strike",2,,0,2,1.0
5827,Kjeldoran Pride,1996,2.0,White,Enchantment,Enchant,1,pump,1,2,1.0
5828,Stormrider Rig,2015,2.0,Colorless,Artifact,Equip,1,pump,1,2,1.0
5829,Trustworthy Scout,2019,2.0,White,Creature,,0,"graveyard, tutor",2,2,1.0
5830,"Wibbly-wobbly, Timey-wimey",2023,2.0,Blue,Sorcery,Time Travel,1,card_advantage,1,2,1.0
5831,Goblin Kaboomist,2014,2.0,Red,Creature,,0,"direct_damage, tokens",2,2,1.0
5832,Scrutiny of the Guildpact,2024,2.0,White,Enchantment,,0,"tokens, pump",2,2,1.0
5833,Fireblade Artist,2019,2.0,Multicolor,Creature,Haste,1,direct_damage,1,2,1.0
5834,Lord Jyscal Guado,2025,2.0,White,Creature,"Flying, Investigate",2,,0,2,1.0
5835,Loam Larva,2016,2.0,Green,Creature,,0,"ramp, tutor",2,2,1.0
5836,Debilitating Injury,2014,2.0,Black,Enchantment,Enchant,1,,1,2,1.0
5837,Grow Extra Arms,2025,2.0,Green,Instant,,0,"ramp, pump",2,2,1.0
5838,Trace of Abundance,2009,2.0,Green,Enchantment,Enchant,1,ramp,1,2,1.0
5839,Quick Sliver,2003,2.0,Green,Creature,Flash,1,,1,2,1.0
5840,Skullsnatcher,2005,2.0,Black,Creature,Ninjutsu,1,graveyard,1,2,1.0
5841,Plague Witch,2000,2.0,Black,Creature,,0,"removal, discard",2,2,1.0
5842,"Golbez, Crystal Collector",2025,2.0,Multicolor,Creature,Surveil,1,graveyard,1,2,1.0
5843,Lingering Death,2003,2.0,Black,Enchantment,Enchant,1,,1,2,1.0
5844,Monoist Gravliner,2025,2.0,Black,Artifact,Station,1,,1,2,1.0
5845,Three Bowls of Porridge,2023,2.0,Colorless,Artifact,,0,"direct_damage, life",2,2,1.0
5846,Alpha Authority,2013,2.0,Green,Enchantment,Enchant,1,evasion,1,2,1.0
5847,Mnemonic Sphere,2022,2.0,Blue,Artifact,Channel,1,card_advantage,1,2,1.0
5848,"Livio, Oathsworn Sentinel",2020,2.0,White,Creature,Partner,1,,1,2,1.0
5849,Abandon the Post,2021,2.0,Red,Sorcery,Flashback,1,,1,2,1.0
5850,Scourge of the Undercity,2024,2.0,Black,Creature,Lifelink,1,,1,2,1.0
5851,Manipulate Fate,2000,2.0,Blue,Sorcery,,0,"card_advantage, tutor",2,2,1.0
5852,Mischievous Mystic,2024,2.0,Blue,Creature,Flying,1,tokens,1,2,1.0
5853,Samite Pilgrim,2001,2.0,White,Creature,Domain,1,protection,1,2,1.0
5854,"Shanna, Sisay's Legacy",2018,2.0,Multicolor,Creature,,0,"pump, protection",2,2,1.0
5855,Temur Monument,2025,2.0,Colorless,Artifact,,0,"tokens, tutor",2,2,1.0
5856,Krile Baldesion,2025,2.0,Multicolor,Creature,Lifelink,1,graveyard,1,2,1.0
5857,Wandering Champion,2015,2.0,White,Creature,,0,"card_advantage, discard",2,2,1.0
5858,Nearheath Pilgrim,2012,2.0,White,Creature,Soulbond,1,,1,2,1.0
5859,Containment Construct,2022,2.0,Colorless,Creature,,0,"graveyard, discard",2,2,1.0
5860,Coiling Stalker,2022,2.0,Green,Creature,Ninjutsu,1,counters,1,2,1.0
5861,Seizures,1995,2.0,Black,Enchantment,Enchant,1,direct_damage,1,2,1.0
5862,Glimpse the Unthinkable,2005,2.0,Multicolor,Sorcery,Mill,1,,1,2,1.0
5863,Pikemen,1994,2.0,White,Creature,"First strike, Banding",2,,0,2,1.0
5864,Trapped in the Tower,2019,2.0,White,Enchantment,Enchant,1,stax,1,2,1.0
5865,Claim of Erebos,2014,2.0,Black,Enchantment,Enchant,1,,1,2,1.0
5866,Moldgraf Scavenger,2016,2.0,Green,Creature,Delirium,1,pump,1,2,1.0
5867,Dai Li Indoctrination,2025,2.0,Black,Sorcery,Earthbend,1,discard,1,2,1.0
5868,Tazeem Roilmage,2020,2.0,Blue,Creature,Kicker,1,graveyard,1,2,1.0
5869,Stalwart Shield-Bearers,2010,2.0,White,Creature,Defender,1,pump,1,2,1.0
5870,"Ivy, Gleeful Spellthief",2022,2.0,Multicolor,Creature,Flying,1,,1,2,1.0
5871,Bitterblade Warrior,2017,2.0,Green,Creature,Exert,1,pump,1,2,1.0
5872,Diplomatic Escort,1999,2.0,Blue,Creature,,0,"counterspell, discard",2,2,1.0
5873,You Hear Something on Watch,2021,2.0,White,Instant,,0,"direct_damage, pump",2,2,1.0
5874,Contaminated Ground,2010,2.0,Black,Enchantment,Enchant,1,,1,2,1.0
5875,Keep Safe,2020,2.0,Blue,Instant,,0,"card_advantage, counterspell",2,2,1.0
5876,Vinesoul Spider,2022,2.0,Green,Creature,Reach,1,,1,2,1.0
5877,Favor of the Overbeing,2008,2.0,Colorless,Enchantment,Enchant,1,pump,1,2,1.0
5878,Stupefying Touch,2002,2.0,Blue,Enchantment,Enchant,1,card_advantage,1,2,1.0
5879,Steal Enchantment,1997,2.0,Blue,Enchantment,Enchant,1,,1,2,1.0
5880,Energy Storm,1995,2.0,White,Enchantment,Cumulative upkeep,1,protection,1,2,1.0
5881,Contaminated Bond,2003,2.0,Black,Enchantment,Enchant,1,,1,2,1.0
5882,Ixalli's Diviner,2017,2.0,Green,Creature,Explore,1,,1,2,1.0
5883,Sugar Rush,2023,2.0,Black,Instant,,0,"card_advantage, pump",2,2,1.0
5884,Glamerdye,2008,2.0,Blue,Instant,Retrace,1,,1,2,1.0
5885,Instill Furor,2005,2.0,Red,Enchantment,Enchant,1,,1,2,1.0
5886,Nightscape Familiar,2001,2.0,Black,Creature,,0,"ramp, protection",2,2,1.0
5887,Don't Blink,2023,2.0,Blue,Instant,Cycling,1,,1,2,1.0
5888,Mosswood Dreadknight // Dread Whispers,2023,2.0,Multicolor,Creature,Trample,1,graveyard,1,2,1.0
5889,Suffocation,1996,2.0,Blue,Instant,,0,"card_advantage, direct_damage",2,2,1.0
5890,Bring the Ending,2023,2.0,Blue,Instant,Corrupted,1,counterspell,1,2,1.0
5891,Vine Trellis,1999,2.0,Green,Creature,Defender,1,ramp,1,2,1.0
5892,Mirror Shield,2020,2.0,Colorless,Artifact,Equip,1,pump,1,2,1.0
5893,Shattered Acolyte,2026,2.0,White,Creature,Lifelink,1,removal,1,2,1.0
5894,Twisted Reflection,2019,2.0,Blue,Instant,Entwine,1,removal,1,2,1.0
5895,Razorlash Transmogrant,2022,2.0,Colorless,Creature,,0,"ramp, graveyard",2,2,1.0
5896,Wall of Tears,1998,2.0,Blue,Creature,Defender,1,,1,2,1.0
5897,Goblin Legionnaire,2001,2.0,Multicolor,Creature,,0,"direct_damage, protection",2,2,1.0
5898,Kobold Overlord,1994,2.0,Red,Creature,First strike,1,,1,2,1.0
5899,Overgrown Battlement,2010,2.0,Green,Creature,Defender,1,ramp,1,2,1.0
5900,Blurred Mongoose,2000,2.0,Green,Creature,Shroud,1,,1,2,1.0
5901,Piranha Fly,2024,2.0,Blue,Creature,Flying,1,,1,2,1.0
5902,Utvara Scalper,2006,2.0,Red,Creature,Flying,1,,1,2,1.0
5903,Rustrazor Butcher,2008,2.0,Red,Creature,"First strike, Wither",2,,0,2,1.0
5904,Merfolk Mesmerist,2011,2.0,Blue,Creature,Mill,1,,1,2,1.0
5905,New Prahv Guildmage,2012,2.0,Multicolor,Creature,Detain,1,,1,2,1.0
5906,Juniper Order Rootweaver,2022,2.0,White,Creature,Kicker,1,counters,1,2,1.0
5907,Den Protector,2015,2.0,Green,Creature,Megamorph,1,graveyard,1,2,1.0
5908,Break of Day,2012,2.0,White,Instant,Fateful hour,1,pump,1,2,1.0
5909,Zhur-Taa Druid,2013,2.0,Multicolor,Creature,,0,"direct_damage, ramp",2,2,1.0
5910,Briarberry Cohort,2008,2.0,Blue,Creature,Flying,1,pump,1,2,1.0
5911,Tenacious Underdog,2022,2.0,Black,Creature,Blitz,1,graveyard,1,2,1.0
5912,Rise and Shine,2021,2.0,Blue,Sorcery,Overload,1,counters,1,2,1.0
5913,"Jackal, Genius Geneticist",2025,2.0,Multicolor,Creature,Trample,1,counters,1,2,1.0
5914,Drown in Filth,2013,2.0,Multicolor,Sorcery,Mill,1,removal,1,2,1.0
5915,Goblin War Buggy,1998,2.0,Red,Creature,"Haste, Echo",2,,0,2,1.0
5916,Stand United,2025,2.0,Colorless,Instant,Scry,1,pump,1,2,1.0
5917,Illustrious Historian,2021,2.0,Red,Creature,,0,"tokens, graveyard",2,2,1.0
5918,Seek New Knowledge,2022,2.0,Blue,Instant,Seek,1,,1,2,1.0
5919,Throne of Geth,2010,2.0,Colorless,Artifact,Proliferate,1,,1,2,1.0
5920,Defang,2012,2.0,White,Enchantment,Enchant,1,protection,1,2,1.0
5921,Angelic Ascension,2020,2.0,White,Instant,,0,"removal, tokens",2,2,1.0
5922,"Saheeli, the Sun's Brilliance",2023,2.0,Multicolor,Creature,,0,"tokens, copy",2,2,1.0
5923,Sylvan Anthem,2021,2.0,Green,Enchantment,Scry,1,pump,1,2,1.0
5924,Silverquill Apprentice,2021,2.0,Multicolor,Creature,Magecraft,1,pump,1,2,1.0
5925,Clinging Darkness,2005,2.0,Black,Enchantment,Enchant,1,,1,2,1.0
5926,Corpse Cobble,2021,2.0,Multicolor,Instant,Flashback,1,tokens,1,2,1.0
5927,Silhana Ledgewalker,2006,2.0,Green,Creature,Hexproof,1,evasion,1,2,1.0
5928,Everdream,2019,2.0,Blue,Instant,Splice,1,card_advantage,1,2,1.0
5929,Cabal Ritual,2002,2.0,Black,Instant,Threshold,1,ramp,1,2,1.0
5930,Unstable Experiment,2025,2.0,Blue,Instant,Connive,1,card_advantage,1,2,1.0
5931,Frog Butler,2026,2.0,Green,Creature,Deathtouch,1,ramp,1,2,1.0
5932,Campus Guide,2021,2.0,Colorless,Creature,,0,"ramp, tutor",2,2,1.0
5933,Mercurial Spelldancer,2023,2.0,Blue,Creature,,0,"counters, evasion",2,2,1.0
5934,Blight Sickle,2008,2.0,Colorless,Artifact,Equip,1,pump,1,2,1.0
5935,Landscape Painter // Vibrant Idea,2026,2.0,Blue,Creature,Prepared,1,,1,2,1.0
5936,Embalmer's Tools,2017,2.0,Colorless,Artifact,Mill,1,ramp,1,2,1.0
5937,Dauthi Ghoul,1997,2.0,Black,Creature,Shadow,1,counters,1,2,1.0
5938,Tempest Harvester,2024,2.0,Blue,Creature,,0,"card_advantage, discard",2,2,1.0
5939,Sun's Bounty,2006,2.0,White,Instant,Recover,1,life,1,2,1.0
5940,Spectacle of Destruction,2025,2.0,Black,Enchantment,Seek,1,counters,1,2,1.0
5941,Blessing,1993,2.0,White,Enchantment,Enchant,1,pump,1,2,1.0
5942,Surge of Righteousness,2015,2.0,White,Instant,,0,"removal, life",2,2,1.0
5943,Marauder's Axe,2018,2.0,Colorless,Artifact,Equip,1,pump,1,2,1.0
5944,Drake Familiar,2005,2.0,Blue,Creature,Flying,1,,1,2,1.0
5945,Cloak of Confusion,1995,2.0,Black,Enchantment,Enchant,1,discard,1,2,1.0
5946,Boggart Cursecrafter,2026,2.0,Multicolor,Creature,Deathtouch,1,direct_damage,1,2,1.0
5947,Kjeldoran Knight,1995,2.0,White,Creature,Banding,1,pump,1,2,1.0
5948,"Phelia, Exuberant Shepherd",2024,2.0,White,Creature,Flash,1,counters,1,2,1.0
5949,Blind Obedience,2013,2.0,White,Enchantment,Extort,1,,1,2,1.0
5950,Auriok Sunchaser,2010,2.0,White,Creature,Metalcraft,1,pump,1,2,1.0
5951,Predation Steward,2023,2.0,Green,Creature,,0,"counters, pump",2,2,1.0
5952,Rakdos Charm,2012,2.0,Multicolor,Instant,,0,"removal, direct_damage",2,2,1.0
5953,Conjurer's Ban,2006,2.0,Multicolor,Sorcery,,0,"card_advantage, stax",2,2,1.0
5954,Speedway Fanatic,2016,2.0,Red,Creature,Haste,1,,1,2,1.0
5955,Illusionary Informant,2016,2.0,Blue,Creature,Flying,1,,1,2,1.0
5956,Fluctuator,1998,2.0,Colorless,Artifact,,0,"card_advantage, ramp",2,2,1.0
5957,Gossamer Phantasm,2007,2.0,Blue,Creature,Flying,1,,1,2,1.0
5958,Skygames,2013,2.0,Blue,Enchantment,Enchant,1,,1,2,1.0
5959,Flying Octobot,2025,2.0,Blue,Creature,Flying,1,counters,1,2,1.0
5960,Soulless Revival,2004,2.0,Black,Instant,Splice,1,graveyard,1,2,1.0
5961,Make Disappear,2022,2.0,Blue,Instant,Casualty,1,counterspell,1,2,1.0
5962,Flamescroll Celebrant // Revel in Silence,2021,2.0,Red,Creature,,0,"direct_damage, pump",2,2,1.0
5963,Unquenchable Thirst,2017,2.0,Blue,Enchantment,Enchant,1,stax,1,2,1.0
5964,Pacifism,1996,2.0,White,Enchantment,Enchant,1,stax,1,2,1.0
5965,Wall of Omens,2010,2.0,White,Creature,Defender,1,card_advantage,1,2,1.0
5966,Mardu Monument,2025,2.0,Colorless,Artifact,,0,"tokens, tutor",2,2,1.0
5967,Frontier Guide,2009,2.0,Green,Creature,,0,"ramp, tutor",2,2,1.0
5968,Split Decision,2014,2.0,Blue,Instant,Will of the council,1,,1,2,1.0
5969,Attended Socialite,2022,2.0,Green,Creature,Alliance,1,pump,1,2,1.0
5970,Dauthi Cutthroat,1998,2.0,Black,Creature,Shadow,1,removal,1,2,1.0
5971,Sky Terror,2017,2.0,Multicolor,Creature,"Flying, Menace",2,,0,2,1.0
5972,Soltari Monk,1997,2.0,White,Creature,"Shadow, Protection",2,,0,2,1.0
5973,Arwen Undómiel,2023,2.0,Multicolor,Creature,Scry,1,counters,1,2,1.0
5974,Crown of Awe,2002,2.0,White,Enchantment,Enchant,1,protection,1,2,1.0
5975,Prowler's Helm,2013,2.0,Colorless,Artifact,Equip,1,evasion,1,2,1.0
5976,Quick-Draw Katana,2024,2.0,Colorless,Artifact,Equip,1,pump,1,2,1.0
5977,Pin to the Earth,2014,2.0,Blue,Enchantment,Enchant,1,,1,2,1.0
5978,Rune of Protection: Lands,1998,2.0,White,Enchantment,Cycling,1,protection,1,2,1.0
5979,Big Play,2021,2.0,Green,Instant,,0,"counters, pump",2,2,1.0
5980,Duskhunter Bat,2011,2.0,Black,Creature,"Flying, Bloodthirst",2,,0,2,1.0
5981,Poison-Blade Mentor,2024,2.0,Black,Creature,Deathtouch,1,,1,2,1.0
5982,Inkfathom Witch,2008,2.0,Colorless,Creature,Fear,1,pump,1,2,1.0
5983,Soul Tithe,2012,2.0,White,Enchantment,Enchant,1,,1,2,1.0
5984,Tear Asunder,2022,2.0,Green,Instant,Kicker,1,removal,1,2,1.0
5985,Planar Disruption,2023,2.0,White,Enchantment,Enchant,1,stax,1,2,1.0
5986,Toxic Scorpion,2021,2.0,Green,Creature,Deathtouch,1,,1,2,1.0
5987,Grim Wanderer,2021,2.0,Black,Creature,Flash,1,,1,2,1.0
5988,Sunscape Familiar,2001,2.0,White,Creature,Defender,1,ramp,1,2,1.0
5989,Lurking Lizards,2025,2.0,Green,Creature,Trample,1,counters,1,2,1.0
5990,Lynx,1998,2.0,Green,Creature,"Landwalk, Forestwalk",2,,0,2,1.0
5991,Wizened Githzerai,2022,2.0,Blue,Creature,Psionic Adept,1,,1,2,1.0
5992,Keep Out,2026,2.0,White,Instant,,0,"removal, direct_damage",2,2,1.0
5993,Avenger en-Dal,2000,2.0,White,Creature,,0,"removal, discard",2,2,1.0
5994,Savai Thundermane,2020,2.0,Multicolor,Creature,,0,"direct_damage, life",2,2,1.0
5995,Vinelasher Kudzu,2005,2.0,Green,Creature,Landfall,1,counters,1,2,1.0
5996,Hatchery Sliver,2023,2.0,Green,Creature,Replicate,1,,1,2,1.0
5997,Opulent Clomper,2026,2.0,Green,Creature,Vivid,1,,1,2,1.0
5998,Decomposition,1996,2.0,Green,Enchantment,Enchant,1,,1,2,1.0
5999,+2 Mace,2021,2.0,White,Artifact,Equip,1,pump,1,2,1.0
6000,Arcbound Ravager,2004,2.0,Colorless,Creature,Modular,1,counters,1,2,1.0
6001,Abeyance,1997,2.0,White,Instant,,0,"card_advantage, stax",2,2,1.0
6002,Oft-Nabbed Goat,2026,2.0,Black,Creature,,0,"card_advantage, counters",2,2,1.0
6003,Loch Mare,2026,2.0,Blue,Creature,,0,"card_advantage, counters",2,2,1.0
6004,Sensei Golden-Tail,2004,2.0,White,Creature,Bushido,1,counters,1,2,1.0
6005,Auriok Champion,2004,2.0,White,Creature,Protection,1,life,1,2,1.0
6006,Trailblazer's Boots,2009,2.0,Colorless,Artifact,Equip,1,evasion,1,2,1.0
6007,Kronch Wrangler,2019,2.0,Green,Creature,Trample,1,counters,1,2,1.0
6008,Knight's Pledge,2018,2.0,White,Enchantment,Enchant,1,pump,1,2,1.0
6009,Lignify,2007,2.0,Green,Enchantment,Enchant,1,pump,1,2,1.0
6010,Lifecreed Duo,2024,2.0,White,Creature,Flying,1,life,1,2,1.0
6011,Outlaw Medic,2024,2.0,White,Creature,Lifelink,1,card_advantage,1,2,1.0
6012,Final Flourish,2023,2.0,Black,Instant,Kicker,1,removal,1,2,1.0
6013,Disciple of Malice,2002,2.0,Black,Creature,"Protection, Cycling",2,,0,2,1.0
6014,Bride's Gown,2021,2.0,White,Artifact,Equip,1,pump,1,2,1.0
6015,Squall Drifter,2006,2.0,White,Creature,Flying,1,,1,2,1.0
6016,Book Burning,2002,2.0,Red,Sorcery,Mill,1,direct_damage,1,2,1.0
6017,Glistening Oil,2011,2.0,Black,Enchantment,Enchant,1,counters,1,2,1.0
6018,Wall of Kelp,1995,2.0,Blue,Creature,Defender,1,tokens,1,2,1.0
6019,Karlov of the Ghost Council,2015,2.0,Multicolor,Creature,,0,"removal, counters",2,2,1.0
6020,Cloudskate,2000,2.0,Blue,Creature,"Flying, Fading",2,,0,2,1.0
6021,Water Tribe Rallier,2025,2.0,White,Creature,Waterbend,1,,1,2,1.0
6022,Vault Skirge,2011,2.0,Colorless,Creature,"Flying, Lifelink",2,,0,2,1.0
6023,Airbender's Reversal,2025,2.0,White,Instant,Airbend,1,removal,1,2,1.0
6024,Cardpecker,2004,2.0,White,Creature,Flying,1,graveyard,1,2,1.0
6025,Blur of Blades,2017,2.0,Red,Instant,,0,"direct_damage, counters",2,2,1.0
6026,Adelbert Steiner,2025,2.0,White,Creature,Lifelink,1,pump,1,2,1.0
6027,Crown of Suspicion,2002,2.0,Black,Enchantment,Enchant,1,pump,1,2,1.0
6028,Sinuous Vermin,2016,2.0,Black,Creature,Monstrosity,1,,1,2,1.0
6029,Meletis Astronomer,2014,2.0,Blue,Creature,Heroic,1,,1,2,1.0
6030,Sporogenic Infection,2024,2.0,Black,Enchantment,Enchant,1,,1,2,1.0
6031,Krumar Initiate,2025,2.0,Black,Creature,Endure,1,,1,2,1.0
6032,Borderland Explorer,2016,2.0,Green,Creature,,0,"ramp, discard",2,2,1.0
6033,Fire-Belly Changeling,2007,2.0,Red,Creature,Changeling,1,pump,1,2,1.0
6034,Cloudspire Coordinator,2025,2.0,Multicolor,Creature,Scry,1,tokens,1,2,1.0
6035,Necrosynthesis,2021,2.0,Black,Enchantment,Enchant,1,counters,1,2,1.0
6036,Storm Fleet Swashbuckler,2018,2.0,Red,Creature,Ascend,1,,1,2,1.0
6037,Dawnwing Marshal,2024,2.0,White,Creature,Flying,1,pump,1,2,1.0
6038,Allay,1998,2.0,White,Instant,Buyback,1,removal,1,2,1.0
6039,"Denethor, Stone Seer",2023,2.0,Blue,Creature,Scry,1,direct_damage,1,2,1.0
6040,Tax Collector,2024,2.0,White,Creature,Detain,1,,1,2,1.0
6041,Common Iguana,2017,2.0,Red,Creature,,0,"card_advantage, discard",2,2,1.0
6042,Gerrard's Verdict,2001,2.0,Multicolor,Sorcery,,0,"discard, life",2,2,1.0
6043,Minotaur de Force,2022,2.0,Red,Creature,Haste,1,,1,2,1.0
6044,Consulate Skygate,2016,2.0,Colorless,Creature,"Reach, Defender",2,,0,2,1.0
6045,Thraben Heretic,2012,2.0,White,Creature,,0,"removal, graveyard",2,2,1.0
6046,Merfolk Looter,1998,2.0,Blue,Creature,,0,"card_advantage, discard",2,2,1.0
6047,Sea Gate Stormcaller,2020,2.0,Blue,Creature,Kicker,1,,1,2,1.0
6048,River Sneak,2017,2.0,Blue,Creature,,0,"pump, evasion",2,2,1.0
6049,Gatekeeper of Malakir,2009,2.0,Black,Creature,Kicker,1,,1,2,1.0
6050,Bogardan Lancer,2007,2.0,Red,Creature,"Flanking, Bloodthirst",2,,0,2,1.0
6051,Roil Eruption,2020,2.0,Red,Sorcery,Kicker,1,direct_damage,1,2,1.0
6052,Stromkirk Condemned,2016,2.0,Black,Creature,,0,"discard, pump",2,2,1.0
6053,Goblin War Paint,2009,2.0,Red,Enchantment,Enchant,1,pump,1,2,1.0
6054,Sungrace Pegasus,2014,2.0,White,Creature,"Flying, Lifelink",2,,0,2,1.0
6055,Blood Knight,2007,2.0,Red,Creature,"First strike, Protection",2,,0,2,1.0
6056,Prized Statue,2022,2.0,Colorless,Artifact,Treasure,1,tokens,1,2,1.0
6057,Sustaining Spirit,1996,2.0,White,Creature,Cumulative upkeep,1,,1,2,1.0
6058,Winds of Rebuke,2017,2.0,Blue,Instant,Mill,1,removal,1,2,1.0
6059,Super Combo,2026,2.0,Green,Sorcery,Replicate,1,,1,2,1.0
6060,Convincing Mirage,2009,2.0,Blue,Enchantment,Enchant,1,,1,2,1.0
6061,Glaze Fiend,2008,2.0,Black,Creature,Flying,1,pump,1,2,1.0
6062,Center Soul,2015,2.0,White,Instant,Rebound,1,protection,1,2,1.0
6063,Verdant Touch,1998,2.0,Green,Sorcery,Buyback,1,,1,2,1.0
6064,Amoeboid Changeling,2007,2.0,Blue,Creature,Changeling,1,,1,2,1.0
6065,"Miara, Thorn of the Glade",2020,2.0,Black,Creature,Partner,1,card_advantage,1,2,1.0
6066,Chicken Troupe,2022,2.0,Green,Creature,Ward,1,,1,2,1.0
6067,Infernal Tutor,2006,2.0,Black,Sorcery,Hellbent,1,tutor,1,2,1.0
6068,Tavern Scoundrel,2020,2.0,Red,Creature,Treasure,1,tokens,1,2,1.0
6069,Case of the Pilfered Proof,2024,2.0,White,Enchantment,Solved,1,counters,1,2,1.0
6070,Laquatus's Disdain,2002,2.0,Blue,Instant,,0,"card_advantage, counterspell",2,2,1.0
6071,Armory Mice,2023,2.0,White,Creature,Celebration,1,pump,1,2,1.0
6072,Gluttonous Slug,2019,2.0,Black,Creature,"Evolve, Menace",2,,0,2,1.0
6073,Magus of the Library,2007,2.0,Green,Creature,,0,"card_advantage, ramp",2,2,1.0
6074,Tainted Indulgence,2022,2.0,Multicolor,Instant,,0,"card_advantage, discard",2,2,1.0
6075,Witherbloom Apprentice,2021,2.0,Multicolor,Creature,Magecraft,1,life,1,2,1.0
6076,Honored Knight-Captain,2025,2.0,White,Creature,,0,"tokens, tutor",2,2,1.0
6077,Dockside Extortionist,2019,2.0,Red,Creature,Treasure,1,tokens,1,2,1.0
6078,Blizzard,1995,2.0,Green,Enchantment,Cumulative upkeep,1,,1,2,1.0
6079,Can't Stay Away,2021,2.0,Multicolor,Sorcery,Flashback,1,graveyard,1,2,1.0
6080,Bravado,1998,2.0,Red,Enchantment,Enchant,1,pump,1,2,1.0
6081,Qarsi Sadist,2015,2.0,Black,Creature,Exploit,1,life,1,2,1.0
6082,Mystery Key,2022,2.0,Blue,Artifact,Equip,1,card_advantage,1,2,1.0
6083,Inkrise Infiltrator,2022,2.0,Black,Creature,Flying,1,pump,1,2,1.0
6084,Myr Convert,2023,2.0,Colorless,Creature,Toxic,1,ramp,1,2,1.0
6085,Kyren Glider,1999,2.0,Red,Creature,Flying,1,,1,2,1.0
6086,Improvising Aerialist,2024,2.0,White,Creature,Survival,1,,1,2,1.0
6087,Hand That Feeds,2024,2.0,Red,Creature,Delirium,1,pump,1,2,1.0
6088,Composer of Spring,2023,2.0,Green,Creature,Constellation,1,,1,2,1.0
6089,Banishing Betrayal,2026,2.0,Blue,Instant,Surveil,1,removal,1,2,1.0
6090,Wheel of Sun and Moon,2008,2.0,Colorless,Enchantment,Enchant,1,,1,2,1.0
6091,Grindclock,2010,2.0,Colorless,Artifact,Mill,1,,1,2,1.0
6092,Sumala Sentry,2024,2.0,Multicolor,Creature,Reach,1,counters,1,2,1.0
6093,Deadly Recluse,2009,2.0,Green,Creature,"Reach, Deathtouch",2,,0,2,1.0
6094,Roiling Dragonstorm,2025,2.0,Blue,Enchantment,,0,"card_advantage, discard",2,2,1.0
6095,Demon Detective,2024,2.0,Black,Creature,Flying,1,,1,2,1.0
6096,Hermitic Nautilus,2023,2.0,Blue,Creature,Vigilance,1,pump,1,2,1.0
6097,Konda's Hatamoto,2004,2.0,White,Creature,Bushido,1,pump,1,2,1.0
